Experiment	STML
1.00216632e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867738e-08	6050000	3.0	773.0562344876369
1.001506574e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868648e-08	6060000	10.0	773.4775628391477
1.00180174e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068690579999999e-08	6070000	3.0	773.8988807655068
1.0025070199999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867484e-08	6080000	5.0	774.320188261141
1.0012614020000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068674960000002e-08	6090000	-1.0	774.7414853204789
1.0015430799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868036e-08	6100000	-1.0	775.1627719379487
1.0016748240000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867298e-08	6110000	-6.0	775.5840481079798
1.0026372399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06866956e-08	6120000	8.0	776.0053138250015
1.0016508159999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068666000000001e-08	6130000	4.0	776.426569083443
1.00219308e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06864854e-08	6140000	10.0	776.8478138777358
1.0016294999999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068643979999999e-08	6150000	11.0	777.2690482023092
1.00261228e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068645960000001e-08	6160000	-2.0	777.6902720515963
1.0008926279999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06862508e-08	6170000	13.0	778.1114854200274
1.00235516e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06863388e-08	6180000	17.0	778.5326883020346
1.0018295e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686231e-08	6190000	2.0	778.9538806920516
1.002305708e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06861342e-08	6200000	17.0	779.3750625845105
1.0008270480000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068620259999999e-08	6210000	9.0	779.7962339738451
1.00323282e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068619120000001e-08	6220000	15.0	780.2173948544896
1.00187298e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06858886e-08	6230000	14.0	780.6385452208783
1.000852538e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06861444e-08	6240000	6.0	781.0596850674464
1.0025146800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06860588e-08	6250000	21.0	781.4808143886283
1.0021699e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06857688e-08	6260000	15.0	781.9019331788613
1.000810646e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06859822e-08	6270000	5.0	782.32304143258
1.0018804839999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06862068e-08	6280000	8.0	782.7441391442225
1.00239988e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06858672e-08	6290000	7.0	783.1652263082252
1.0011228880000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06859878e-08	6300000	8.0	783.586302919026
1.0015401859999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06861742e-08	6310000	25.0	784.0073689710632
1.0022765999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06860474e-08	6320000	1.0	784.4284244587752
1.001170142e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686154e-08	6330000	16.0	784.8494693766006
1.0019655e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068620819999999e-08	6340000	-12.0	785.2705037189796
1.00171742e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068616839999998e-08	6350000	16.0	785.6915274803519
1.001249186e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068631920000001e-08	6360000	16.0	786.112540655158
1.001734006e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06864766e-08	6370000	1.0	786.5335432378384
1.0017620999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06863572e-08	6380000	1.0	786.954535222835
1.001253856e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06866318e-08	6390000	-2.0	787.3755166045896
1.0018616840000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686727e-08	6400000	23.0	787.7964873775438
1.00223096e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068645839999999e-08	6410000	8.0	788.2174475361408
1.000874532e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06865592e-08	6420000	8.0	788.6383970748235
1.0013973999999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068686599999999e-08	6430000	11.0	789.0593359880361
1.002979904e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06866744e-08	6440000	14.0	789.4802642702226
1.0013898759999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068658760000001e-08	6450000	15.0	789.9011819158271
1.0015658539999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868392e-08	6460000	18.0	790.3220889192953
1.0023957e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686633e-08	6470000	20.0	790.7429852750721
1.0013356239999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06865236e-08	6480000	23.0	791.1638709776045
1.0009453560000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068686920000001e-08	6490000	19.0	791.5847460213377
1.00271196e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068676800000001e-08	6500000	721.0	792.0056104007193
1.0022113199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068640979999999e-08	6510000	3209.0	792.4264641101968
1.001106792e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06865534e-08	6520000	1595.0	792.8473071442178
1.0027908199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068640979999999e-08	6530000	7.0	793.2681394972304
1.00158832e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06862622e-08	6540000	8.0	793.688961163684
1.0018742199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686346e-08	6550000	33.0	794.1097721380276
1.0019644399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068625219999999e-08	6560000	-3.0	794.5305724147112
1.0011835720000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06861954e-08	6570000	10.0	794.9513619881843
1.00203704e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686329e-08	6580000	13.0	795.3721408528984
1.002920518e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06859908e-08	6590000	11.0	795.7929090033041
1.000796992e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06861128e-08	6600000	19.0	796.2136664338531
1.003587724e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06860006e-08	6610000	24.0	796.6344131389976
1.0021446820000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068548620000001e-08	6620000	16.0	797.0551491131902
1.000204972e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068579619999999e-08	6630000	14.0	797.475874350884
1.00318738e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06857648e-08	6640000	25.0	797.8965888465325
1.0020749e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068533539999999e-08	6650000	13.0	798.3172925945896
1.0003080400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068578499999999e-08	6660000	5.0	798.7379855895098
1.00270202e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06858074e-08	6670000	7.0	799.1586678257479
1.001978454e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068539959999999e-08	6680000	7.0	799.579339297759
1.0008042380000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855772e-08	6690000	17.0	800
1.0028232999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06858102e-08	6700000	20.0	800.4206499269266
1.001631264e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855188e-08	6710000	3.0	800.8412890729951
1.000962912e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06856396e-08	6720000	15.0	801.2619174326641
1.0021366399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06857748e-08	6730000	17.0	801.6825350003899
1.001817314e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855972e-08	6740000	-3.0	802.1031417706322
1.000806894e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685921e-08	6750000	19.0	802.5237377378485
1.001872452e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06861004e-08	6760000	2.0	802.9443228964988
1.0021940000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685955e-08	6770000	2.0	803.364897241042
1.001196812e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06860404e-08	6780000	17.0	803.7854607659397
1.001999576e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068617540000001e-08	6790000	-2.0	804.2060134656512
1.001830524e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06861072e-08	6800000	4.0	804.626555334638
1.0006844e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06861812e-08	6810000	6.0	805.0470863673617
1.00167684e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06864626e-08	6820000	22.0	805.4676065582848
1.0026804799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068635179999999e-08	6830000	22.0	805.8881159018687
1.000615012e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06861826e-08	6840000	12.0	806.308614392578
1.001457798e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068663460000001e-08	6850000	10.0	806.7291020248754
1.00236236e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06865492e-08	6860000	32.0	807.1495787932248
1.00183676e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068630619999999e-08	6870000	15.0	807.5700446920905
1.001146856e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867e-08	6880000	2.0	807.9904997159382
1.0025731579999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06866842e-08	6890000	8.0	808.4109438592328
1.0013117460000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06863348e-08	6900000	5.0	808.8313771164402
1.0014554200000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06865774e-08	6910000	17.0	809.251799482027
1.0033064599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06865224e-08	6920000	8.0	809.6722109504602
1.0017036220000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068614280000001e-08	6930000	11.0	810.0926115162071
1.0007542480000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06862964e-08	6940000	5.0	810.513001173735
1.00258546e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068619980000001e-08	6950000	-6.0	810.9333799175134
1.00218242e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068615020000001e-08	6960000	13.0	811.35374774201
1.0013917799999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686164e-08	6970000	8.0	811.7741046416945
1.00231344e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068591860000002e-08	6980000	15.0	812.1944506110365
1.0022067399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06858556e-08	6990000	9.0	812.6147856445073
1.00171994e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06858244e-08	7000000	15.0	813.0351097365763
1.002260362e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068574920000001e-08	7010000	11.0	813.4554228817155
1.0014879799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068565399999999e-08	7020000	17.0	813.8757250743963
1.001940222e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06857434e-08	7030000	16.0	814.2960163090914
1.0016102500000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06856766e-08	7040000	14.0	814.7162965802728
1.0013423739999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06856356e-08	7050000	-4.0	815.1365658824143
1.00236402e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068572079999999e-08	7060000	13.0	815.5568242099894
1.0023291600000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068558160000001e-08	7070000	0.0	815.9770715574725
1.0011585560000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685563e-08	7080000	7.0	816.3973079193377
1.00216714e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06856142e-08	7090000	3.0	816.8175332900604
1.0023124199999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068545219999999e-08	7100000	7.0	817.2377476641161
1.001110224e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685394e-08	7110000	8.0	817.6579510359817
1.0020731600000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855686e-08	7120000	17.0	818.0781434001328
1.0020824e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068535979999999e-08	7130000	11.0	818.4983247510469
1.0015388599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06854378e-08	7140000	21.0	818.9184950832018
1.0013673599999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06856284e-08	7150000	22.0	819.3386543910756
1.001883168e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068561700000002e-08	7160000	23.0	819.7588026691468
1.0018893080000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068563839999999e-08	7170000	2.0	820.1789399118938
1.001148484e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06858174e-08	7180000	5.0	820.5990661137971
1.0015347200000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685874e-08	7190000	22.0	821.0191812693369
1.00134642e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06859964e-08	7200000	15.0	821.4392853729928
1.0012579099999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06862108e-08	7210000	7.0	821.8593784192464
1.0019133620000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06862606e-08	7220000	15.0	822.2794604025789
1.002074558e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686144e-08	7230000	19.0	822.6995313174731
1.00068198e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06864826e-08	7240000	6.0	823.1195911584103
1.0017375800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068657079999999e-08	7250000	4.0	823.5396399198747
1.0023510999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686373e-08	7260000	5.0	823.9596775963495
1.0009249519999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06866144e-08	7270000	3.0	824.3797041823183
1.001630244e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867238e-08	7280000	16.0	824.7997196722661
1.001927332e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06865974e-08	7290000	14.0	825.2197240606773
1.001140322e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867724e-08	7300000	20.0	825.6397173420382
1.0027686999999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868192e-08	7310000	14.0	826.0596995108342
1.00198588e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06865094e-08	7320000	25.0	826.4796705615519
1.0014499839999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068658200000001e-08	7330000	15.0	826.8996304886786
1.00286552e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06864852e-08	7340000	14.0	827.3195792867014
1.002568244e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068605899999999e-08	7350000	8.0	827.7395169501078
1.0015109360000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06860546e-08	7360000	21.0	828.1594434733878
1.0022771040000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06860064e-08	7370000	6.0	828.5793588510289
1.002151876e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06856412e-08	7380000	18.0	828.9992630775215
1.0025504539999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06854934e-08	7390000	11.0	829.4191561473552
1.0013297659999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06854922e-08	7400000	-2.0	829.8390380550206
1.0024484999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06853868e-08	7410000	13.0	830.2589087950086
1.0026919600000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685084e-08	7420000	11.0	830.6787683618107
1.00177064e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849746e-08	7430000	3.0	831.0986167499183
1.0007443980000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685114e-08	7440000	20.0	831.5184539538253
1.0034774799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849974e-08	7450000	10.0	831.9382799680238
1.001232166e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068482839999999e-08	7460000	16.0	832.3580947870073
1.0010333100000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068501160000001e-08	7470000	12.0	832.7778984052695
1.00203718e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06851266e-08	7480000	15.0	833.1976908173056
1.0025392199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06850244e-08	7490000	1.0	833.6174720176105
1.000926118e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068511079999999e-08	7500000	12.0	834.0372420006788
1.0017164079999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068539099999999e-08	7510000	5.0	834.4570007610079
1.00205942e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06852218e-08	7520000	9.0	834.876748293093
1.0007937800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685266e-08	7530000	10.0	835.2964845914316
1.00050264e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685752e-08	7540000	15.0	835.7162096505218
1.002756164e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068574639999999e-08	7550000	16.0	836.135923464861
1.00104307e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06857704e-08	7560000	1.0	836.5556260289479
1.000304574e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06860746e-08	7570000	16.0	836.9753173372815
1.0036419e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06859866e-08	7580000	7.0	837.3949973843612
1.000351248e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06859892e-08	7590000	14.0	837.8146661646875
1.00178709e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068636599999999e-08	7600000	31.0	838.2343236727608
1.0019340000000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06862152e-08	7610000	-4.0	838.6539699030816
1.0006418999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068638580000001e-08	7620000	13.0	839.073604850152
1.0013365739999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867098e-08	7630000	-1.0	839.4932285084744
1.0032542e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686504e-08	7640000	10.0	839.9128408725505
1.0013032819999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06864314e-08	7650000	6.0	840.3324419368848
1.00086315e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06867e-08	7660000	1.0	840.752031695979
1.0031874400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686461e-08	7670000	13.0	841.1716101443386
1.00197734e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06861784e-08	7680000	8.0	841.591177276468
1.0012166220000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06864484e-08	7690000	-2.0	842.010733086872
1.0023296e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068628060000001e-08	7700000	6.0	842.4302775700569
1.0023211599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686049e-08	7710000	11.0	842.8498107205281
1.0012930220000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06861356e-08	7720000	10.0	843.2693325327926
1.0029008600000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06860092e-08	7730000	6.0	843.6888430013574
1.002355452e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855658e-08	7740000	9.0	844.1083421207308
1.0011090259999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855416e-08	7750000	7.0	844.5278298854201
1.0024876599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685691e-08	7760000	-8.0	844.9473062899352
1.00282867e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06852148e-08	7770000	2.0	845.3667713287846
1.0015897859999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685111e-08	7780000	-8.0	845.7862249964776
1.0014340939999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06852758e-08	7790000	1.0	846.2056672875251
1.00233562e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06852392e-08	7800000	8.0	846.6250981964382
1.0021364179999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068509540000001e-08	7810000	-2.0	847.044517717727
1.00176894e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849366e-08	7820000	-4.0	847.4639258459046
1.0012813500000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849946e-08	7830000	6.0	847.8833225754827
1.0024029400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068518340000001e-08	7840000	1.0	848.3027079009742
1.00201826e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849064e-08	7850000	19.0	848.7220818168928
1.0002919539999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06850684e-08	7860000	24.0	849.1414443177514
1.0010606680000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06856142e-08	7870000	4.0	849.5607953980659
1.0031071800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06853016e-08	7880000	10.0	849.9801350523499
1.0010022099999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06853486e-08	7890000	18.0	850.3994632751196
1.0003156340000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685728e-08	7900000	17.0	850.8187800608902
1.0035377999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685536e-08	7910000	-3.0	851.2380854041787
1.001193648e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068553020000001e-08	7920000	12.0	851.6573792995023
1.0002570540000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068595939999999e-08	7930000	-3.0	852.0766617413777
1.00274052e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685975e-08	7940000	11.0	852.4959327243239
1.0019671000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06856994e-08	7950000	20.0	852.9151922428588
1.0003393459999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686062e-08	7960000	3.0	853.3344402915014
1.00168608e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0686305e-08	7970000	9.0	853.7536768647717
1.0022542020000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068611580000001e-08	7980000	15.0	854.1729019571894
1.00141653e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06862068e-08	7990000	23.0	854.5921155632756
1.00272552e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06860274e-08	8000000	4.0	855.0113176775509
1.00182476e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068582599999999e-08	8010000	10.0	855.4305082945373
1.001928e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068588420000001e-08	8020000	8.0	855.8496874087574
1.00213276e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685782e-08	8030000	14.0	856.2688550147328
1.001307976e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06858472e-08	8040000	8.0	856.6880111069875
1.0024e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068582320000001e-08	8050000	18.0	857.1071556800451
1.00206276e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685651e-08	8060000	-5.0	857.5262887284297
1.0012427440000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06857564e-08	8070000	-5.0	857.945410246667
1.001205344e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068594100000001e-08	8080000	-1.0	858.3645202292812
1.002443836e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685732e-08	8090000	-2.0	858.7836186707983
1.002009274e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068552880000001e-08	8100000	-4.0	859.2027055657455
1.0014589100000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068576640000001e-08	8110000	-7.0	859.6217809086486
1.0026304e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068569220000001e-08	8120000	7.0	860.040844694036
1.001795666e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068536260000001e-08	8130000	6.0	860.4598969164354
1.00096747e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855118e-08	8140000	0.0	860.8789375703744
1.002335494e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06857224e-08	8150000	33.0	861.2979666503836
1.0021343860000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06854762e-08	8160000	2.0	861.7169841509913
1.00139566e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06855018e-08	8170000	-6.0	862.135990066728
1.0008647779999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685627e-08	8180000	14.0	862.554984392124
1.0027003799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06856098e-08	8190000	12.0	862.9739671217114
1.0009363640000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068568400000001e-08	8200000	9.0	863.3929382500205
1.0025657000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06857476e-08	8210000	20.0	863.8118977715844
1.002014872e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068558440000001e-08	8220000	7.0	864.2308456809352
1.001648656e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06856184e-08	8230000	-3.0	864.6497819726067
1.0017597480000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06856044e-08	8240000	13.0	865.0687066411323
1.0018046199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685519e-08	8250000	13.0	865.4876196810461
1.0008889180000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685694e-08	8260000	6.0	865.9065210868837
1.00252804e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06856782e-08	8270000	8.0	866.3254108531801
1.001712648e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685607e-08	8280000	17.0	866.7442889744707
1.0009930280000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068569379999999e-08	8290000	-5.0	867.1631554452927
1.0020309799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068581440000001e-08	8300000	11.0	867.5820102601829
1.00158544e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06857916e-08	8310000	1.0	868.0008534136778
1.0024588000000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06857678e-08	8320000	4.0	868.4196849003164
1.001245558e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685543e-08	8330000	0.0	868.8385047146375
1.00175874e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06858074e-08	8340000	11.0	869.2573128511798
1.0021387599999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06857252e-08	8350000	18.0	869.6761093044826
1.00257121e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068540960000001e-08	8360000	3.0	870.094894069086
1.000409624e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06857802e-08	8370000	-8.0	870.5136671395312
