Experiment	STML
1.002839788e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06889366e-08	400000	-3.0	533.5089434628242
1.002568556e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068834679999999e-08	410000	-12.0	533.9352589630912
1.000116298e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06884934e-08	420000	2.0	534.3615672475995
1.0022767399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06889566e-08	430000	13.0	534.7878683105807
1.00317698e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068842660000001e-08	440000	-16.0	535.2141621462681
1.0006322979999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688357e-08	450000	-3.0	535.6404487488938
1.0016686999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06887618e-08	460000	-6.0	536.0667281126915
1.00306194e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068837679999999e-08	470000	0.0	536.4930002318939
1.0020910399999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06881296e-08	480000	-10.0	536.9192651007345
1.000370896e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688455e-08	490000	-14.0	537.3455227134468
1.00309712e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068842079999999e-08	500000	-7.0	537.7717730642659
1.0026158400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878708e-08	510000	-21.0	538.1980161474246
1.0007613880000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878794e-08	520000	2.0	538.6242519571582
1.00193255e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06882374e-08	530000	-3.0	539.0504804877013
1.0032696000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068782259999999e-08	540000	-7.0	539.4767017332883
1.0006545160000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068769880000001e-08	550000	-3.0	539.9029156881548
1.00113391e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06882274e-08	560000	5.0	540.3291223465368
1.0030903800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068801159999999e-08	570000	-5.0	540.7553217026691
1.0014052560000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687642e-08	580000	1.0	541.1815137507873
9.997307e-11	3.0	4.6357826e-08	-4.0125183e-08	-7.068838260000001e-08	590000	-11.0	541.6076984851289
1.00401632e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688459e-08	600000	-12.0	542.0338758999288
1.00234682e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068765900000001e-08	610000	-16.0	542.4600459894243
9.99346686e-11	3.0	4.6357826e-08	-4.0125183e-08	-7.0688097e-08	620000	-5.0	542.8862087478526
1.00289946e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068854600000001e-08	630000	6.0	543.3123641694505
1.0030942080000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068784520000001e-08	640000	6.0	543.7385122484551
9.99631868e-11	3.0	4.6357826e-08	-4.0125183e-08	-7.068804420000001e-08	650000	-6.0	544.1646529791044
1.00114522e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06886496e-08	660000	9.0	544.5907863556358
1.0040973e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068815500000001e-08	670000	1.0	545.0169123722882
1.000633536e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06880174e-08	680000	-3.0	545.4430310232995
1.0003049239999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06886866e-08	690000	-3.0	545.8691423029079
1.0034369000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068855980000001e-08	700000	5.0	546.2952462053528
1.0018604419999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688132e-08	710000	-13.0	546.721342724873
1.0000072259999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06885528e-08	720000	3.0	547.1474318557083
1.0035513400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068861560000001e-08	730000	1.0	547.5735135920971
1.00208178e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06880486e-08	740000	1.0	547.999587928281
1.000766916e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06882688e-08	750000	0.0	548.4256548584988
1.00282146e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068835680000001e-08	760000	1.0	548.8517143769911
1.0018033440000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06880672e-08	770000	-16.0	549.2777664779987
1.0008721799999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06882148e-08	780000	-3.0	549.7038111557621
1.00281432e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068828859999999e-08	790000	-11.0	550.1298484045229
1.00220384e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068802019999999e-08	800000	-1.0	550.5558782185224
1.001494536e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06880046e-08	810000	-3.0	550.9819005920014
1.0018922000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879148e-08	820000	-4.0	551.4079155192023
1.001506768e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068796319999999e-08	830000	-6.0	551.8339229943673
1.0019872000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879304e-08	840000	1.0	552.259923011739
1.0015453199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879844e-08	850000	-1.0	552.6859155655595
1.0016003600000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068806819999999e-08	860000	3.0	553.1119006500718
1.00185036e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06882176e-08	870000	-2.0	553.5378782595191
1.00167448e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06881212e-08	880000	-8.0	553.9638483881441
1.0016170620000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688155e-08	890000	10.0	554.3898110301915
1.0015941599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06881918e-08	900000	5.0	554.8157661799047
1.001889268e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688199e-08	910000	10.0	555.2417138315276
1.0012745240000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068827719999999e-08	920000	3.0	555.6676539793049
1.0023077279999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068832819999999e-08	930000	4.0	556.0935866174814
1.00167345e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688347e-08	940000	0.0	556.5195117403018
1.001747668e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06883014e-08	950000	6.0	556.9454293420107
1.0018954200000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688374e-08	960000	2.0	557.3713394168545
1.0014863400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068839660000001e-08	970000	7.0	557.7972419590782
1.0015288579999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688439e-08	980000	9.0	558.2231369629276
1.0017820920000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06883582e-08	990000	-1.0	558.6490244226499
1.00217358e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068839660000001e-08	1000000	-2.0	559.0749043324905
1.0013485940000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068845059999999e-08	1010000	-2.0	559.5007766866963
1.00261128e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06882844e-08	1020000	5.0	559.9266414795153
1.0018383799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068817359999999e-08	1030000	-5.0	560.3524987051934
1.0007550639999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068830560000001e-08	1040000	-11.0	560.778348357978
1.0022061379999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06883908e-08	1050000	-2.0	561.2041904321183
1.00309072e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068819459999999e-08	1060000	-6.0	561.6300249218609
1.000927148e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688007e-08	1070000	8.0	562.0558518214555
1.0020190400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06881396e-08	1080000	0.0	562.4816711251491
1.0023715939999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879222e-08	1090000	4.0	562.9074828271915
1.001582262e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878778e-08	1100000	-10.0	563.3332869218307
1.0017448879999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06880726e-08	1110000	2.0	563.7590834033176
1.0027686400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687895e-08	1120000	13.0	564.1848722659005
1.0010130520000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06876904e-08	1130000	-13.0	564.6106535038301
1.00135528e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068800299999999e-08	1140000	-6.0	565.0364271113558
1.0027678600000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068786680000001e-08	1150000	-4.0	565.462193082729
1.0019352200000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068753279999999e-08	1160000	10.0	565.8879514121992
1.0008735439999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878822e-08	1170000	-6.0	566.3137020940176
1.0022258319999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879206e-08	1180000	-6.0	566.7394451224358
1.00218272e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068760380000001e-08	1190000	9.0	567.1651804917052
1.0010567e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877814e-08	1200000	3.0	567.5909081960773
1.002236108e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068793339999999e-08	1210000	4.0	568.0166282298038
1.00191954e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877598e-08	1220000	6.0	568.4423405871379
1.0010401259999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068785799999999e-08	1230000	6.0	568.8680452623315
1.0018745200000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06880514e-08	1240000	2.0	569.2937422496369
1.00233614e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687818e-08	1250000	11.0	569.7194315433078
1.0012106239999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068785660000001e-08	1260000	16.0	570.1451131375978
1.001130054e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068818080000001e-08	1270000	2.0	570.57078702676
1.00203022e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068819340000001e-08	1280000	13.0	570.9964532050478
1.00231862e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06880726e-08	1290000	3.0	571.4221116667165
1.000432148e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06883724e-08	1300000	-7.0	571.8477624060199
1.0020813040000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06884834e-08	1310000	6.0	572.2734054172126
1.00190488e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688266e-08	1320000	3.0	572.6990406945495
1.0006957179999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068843920000001e-08	1330000	-10.0	573.1246682322862
1.0021942079999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06887022e-08	1340000	-5.0	573.5502880246779
1.0025365239999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688364e-08	1350000	3.0	573.9759000659802
1.00159463e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06882672e-08	1360000	9.0	574.4015043504495
1.0012769659999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06885616e-08	1370000	-4.0	574.8271008723424
1.00243904e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068849599999999e-08	1380000	-1.0	575.2526896259144
1.0017968499999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06882276e-08	1390000	14.0	575.6782706054234
1.000946678e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068844920000001e-08	1400000	0.0	576.1038438051262
1.0026423019999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06885588e-08	1410000	-9.0	576.5294092192804
